Area_sqft,Bedrooms,Bathrooms,Age_years,Parking_spaces,Location,Property_Type,Furnishing,Price
857,1,2.0,3.0,0,Nagpur,Apartment,Semi-Furnished,5562988.0
3595,1,1.0,20.0,2,Pune,Independent House,Unfurnished,33620327.0
3118,4,3.0,22.0,0,Pune,Apartment,Unfurnished,30202837.0
2255,4,3.0,29.0,2,Thane,Apartment,Semi-Furnished,29250999.0
2232,4,2.0,22.0,2,Nashik,Apartment,Semi-Furnished,15042455.0
3934,5,4.0,7.0,0,Pune,Villa,Furnished,41216966.0
843,3,3.0,14.0,1,Nagpur,Villa,Semi-Furnished,8079377.0
3289,5,1.0,17.0,0,Nashik,Apartment,Furnished,20976376.0
1305,4,4.0,39.0,2,Thane,Villa,Semi-Furnished,19023622.0
876,2,1.0,21.0,1,Nagpur,Apartment,Furnished,5129574.0
2605,5,3.0,25.0,1,Pune,Independent House,Semi-Furnished,26698212.0
4402,1,2.0,29.0,0,Pune,Apartment,Furnished,40237469.0
3443,3,3.0,14.0,1,Pune,Apartment,Semi-Furnished,32861889.0
3544,5,4.0,38.0,1,Nagpur,Apartment,Furnished,18674155.0
3369,4,3.0,26.0,0,Nashik,Villa,Semi-Furnished,22260356.0
3644,5,3.0,33.0,3,Nagpur,Apartment,Unfurnished,18380319.0
2552,1,4.0,29.0,1,Nashik,Apartment,Semi-Furnished,14816133.0
1012,3,3.0,24.0,0,Mumbai,Apartment,Semi-Furnished,19361229.0
3858,4,4.0,1.0,2,Pune,Apartment,Unfurnished,37705111.0
2301,4,2.0,23.0,1,Pune,Independent House,Semi-Furnished,22787226.0
2501,5,1.0,5.0,1,Mumbai,Apartment,Unfurnished,47394059.0
1983,3,1.0,24.0,2,Nashik,Apartment,Furnished,12222885.0
1230,4,3.0,28.0,0,Thane,Villa,Semi-Furnished,18254934.0
4207,3,3.0,21.0,2,Pune,Apartment,Unfurnished,38951480.0
3626,5,1.0,12.0,0,Nagpur,Independent House,Furnished,19294197.0
3075,1,1.0,2.0,0,Pune,Apartment,Semi-Furnished,29788599.0
2109,2,4.0,26.0,0,Nagpur,Independent House,Semi-Furnished,11486357.0
3791,1,3.0,27.0,0,Pune,Independent House,Semi-Furnished,36120176.0
2681,4,4.0,19.0,1,Nagpur,Apartment,Unfurnished,13857355.0
2273,2,1.0,28.0,3,Pune,Apartment,Unfurnished,21511152.0
2301,2,1.0,31.0,3,Pune,Villa,Furnished,23130736.0
1408,5,2.0,20.0,0,Nashik,Villa,Furnished,12373214.0
868,2,4.0,1.0,3,Mumbai,Apartment,Furnished,18522470.0
2718,1,3.0,34.0,2,Mumbai,Apartment,Unfurnished,49954334.0
4051,1,4.0,18.0,2,Mumbai,Apartment,Furnished,74715832.0
755,2,2.0,26.0,3,Thane,Villa,Semi-Furnished,12372804.0
3933,5,2.0,36.0,1,Pune,Villa,Semi-Furnished,39029760.0
3810,3,3.0,14.0,1,Nashik,Apartment,Unfurnished,22523518.0
1607,5,4.0,24.0,2,Thane,Apartment,Furnished,22926974.0
3026,2,2.0,0.0,2,Nagpur,Villa,Furnished,18788628.0
1160,2,3.0,35.0,2,Mumbai,Independent House,Unfurnished,22440693.0
3532,1,4.0,2.0,0,Nashik,Apartment,Furnished,21849105.0
3302,2,2.0,21.0,3,Pune,Apartment,Semi-Furnished,31341695.0
1918,3,4.0,14.0,1,Nashik,Apartment,Unfurnished,13240767.0
771,5,3.0,1.0,3,Mumbai,Villa,Unfurnished,18980435.0
4382,2,4.0,18.0,1,Nagpur,Apartment,Semi-Furnished,20564751.0
2282,4,2.0,37.0,0,Thane,Apartment,Unfurnished,27340575.0
4072,4,3.0,6.0,3,Pune,Villa,Unfurnished,40778044.0
3211,2,2.0,11.0,2,Pune,Apartment,Furnished,30712424.0
3613,5,3.0,7.0,0,Mumbai,Apartment,Semi-Furnished,67802892.0
3539,3,2.0,4.0,0,Nashik,Apartment,Furnished,22103880.0
1278,1,3.0,9.0,0,Mumbai,Apartment,Semi-Furnished,24365338.0
1955,5,4.0,22.0,0,Nashik,Apartment,Semi-Furnished,13509002.0
2366,5,2.0,31.0,3,Nashik,Apartment,Furnished,15424375.0
2491,1,2.0,27.0,0,Thane,Apartment,Unfurnished,29939255.0
675,5,2.0,30.0,0,Mumbai,Apartment,Semi-Furnished,14140505.0
2686,5,3.0,28.0,3,Pune,Independent House,Semi-Furnished,28525589.0
1117,5,3.0,15.0,3,Mumbai,Independent House,Furnished,25277042.0
3473,2,3.0,36.0,0,Nashik,Apartment,Semi-Furnished,19294211.0
3232,4,1.0,6.0,2,Pune,Villa,Furnished,34585470.0
4190,3,,27.0,2,Pune,Apartment,Furnished,39443114.0
3479,4,1.0,4.0,2,Mumbai,Independent House,Semi-Furnished,66691090.0
1966,4,4.0,30.0,1,Nagpur,Independent House,Semi-Furnished,12151193.0
4370,4,4.0,3.0,3,Thane,Villa,Unfurnished,57374056.0
2143,3,1.0,8.0,3,Mumbai,Villa,Semi-Furnished,42660472.0
1803,4,1.0,15.0,2,Pune,Apartment,Unfurnished,17827881.0
4122,3,4.0,27.0,3,Mumbai,Apartment,Semi-Furnished,75852174.0
1981,1,3.0,1.0,0,Mumbai,Apartment,Unfurnished,35842887.0
805,1,2.0,10.0,2,Thane,Apartment,Furnished,11157788.0
2378,5,3.0,13.0,3,Mumbai,Villa,Semi-Furnished,48083625.0
3682,5,1.0,29.0,2,Nagpur,Apartment,Semi-Furnished,18967513.0
1257,3,1.0,38.0,3,Thane,Apartment,Semi-Furnished,16182195.0
2351,1,2.0,24.0,1,Nashik,Apartment,Unfurnished,12734674.0
1019,4,4.0,20.0,3,Pune,Villa,Semi-Furnished,13504921.0
3245,1,4.0,13.0,3,Nashik,Apartment,Furnished,20106557.0
2402,2,1.0,32.0,2,Mumbai,Apartment,Semi-Furnished,43207247.0
1820,2,3.0,,2,Mumbai,Independent House,Semi-Furnished,35118129.0
1407,1,4.0,5.0,2,Thane,Apartment,Furnished,18748685.0
2757,5,4.0,8.0,1,Pune,Villa,Unfurnished,30261634.0
3179,3,4.0,10.0,2,Mumbai,Apartment,Furnished,61267778.0
4261,2,1.0,18.0,3,Pune,Apartment,Unfurnished,39478273.0
2248,3,1.0,37.0,0,Pune,Independent House,Furnished,21955831.0
1142,1,1.0,26.0,0,Nashik,Apartment,Furnished,6054159.0
3830,3,1.0,15.0,1,Nagpur,Apartment,Furnished,19192491.0
3019,3,1.0,8.0,1,Nashik,Apartment,Unfurnished,18259828.0
3301,2,2.0,25.0,2,Mumbai,Independent House,Semi-Furnished,61801447.0
888,5,3.0,10.0,1,Pune,Independent House,Furnished,12981965.0
1749,2,2.0,39.0,2,Mumbai,Apartment,Semi-Furnished,32336306.0
3571,1,2.0,19.0,0,Nashik,Apartment,Semi-Furnished,21014829.0
3829,3,1.0,22.0,1,Nagpur,Apartment,Semi-Furnished,18228240.0
2240,5,1.0,36.0,2,Nashik,Villa,Unfurnished,16442390.0
3719,2,4.0,12.0,1,Thane,Apartment,Semi-Furnished,45699028.0
3866,1,3.0,18.0,2,Nagpur,Apartment,Unfurnished,17706760.0
2049,5,1.0,21.0,2,Mumbai,Apartment,Semi-Furnished,39282000.0
4092,3,4.0,10.0,1,Nashik,Independent House,Semi-Furnished,26283062.0
1653,1,4.0,2.0,1,Nagpur,Apartment,Unfurnished,8886764.0
1458,4,4.0,11.0,3,Thane,Apartment,Unfurnished,20062905.0
3229,2,1.0,4.0,3,Mumbai,Independent House,Furnished,62603163.0
3047,5,3.0,27.0,0,Nashik,Apartment,Semi-Furnished,18663915.0
1059,2,4.0,0.0,2,Mumbai,Apartment,Semi-Furnished,21363282.0
3830,3,4.0,12.0,1,Nagpur,Apartment,Furnished,20925872.0
1299,3,1.0,35.0,0,Thane,Apartment,Semi-Furnished,16320119.0
3719,2,4.0,22.0,2,Thane,Apartment,Semi-Furnished,46780623.0
529,3,2.0,26.0,0,Pune,Apartment,Semi-Furnished,5899142.0
3687,1,2.0,26.0,1,Pune,Apartment,Unfurnished,32393806.0
3647,4,3.0,11.0,2,Nagpur,Apartment,Semi-Furnished,19309579.0
3621,4,4.0,25.0,3,Nashik,Independent House,Unfurnished,22324341.0
3159,5,1.0,8.0,1,Thane,Apartment,Furnished,41297038.0
2386,2,3.0,25.0,3,Mumbai,Villa,Semi-Furnished,46482031.0
3320,2,4.0,27.0,3,Thane,Apartment,Unfurnished,41413939.0
1608,3,3.0,35.0,1,Nagpur,Apartment,Semi-Furnished,8224425.0
3622,4,2.0,36.0,0,Pune,Apartment,Unfurnished,33434640.0
2722,5,1.0,0.0,2,Pune,Apartment,,27451270.0
2335,1,3.0,11.0,0,Nagpur,Villa,Furnished,14392484.0
2522,2,3.0,21.0,3,Pune,Apartment,Furnished,25141560.0
2774,2,3.0,12.0,1,Nagpur,Villa,Semi-Furnished,15652884.0
649,2,4.0,24.0,3,Nashik,Independent House,Semi-Furnished,6548163.0
1059,3,3.0,34.0,2,Mumbai,Apartment,Semi-Furnished,20812375.0
1481,5,3.0,10.0,1,Pune,Independent House,Unfurnished,17044391.0
958,1,1.0,35.0,3,Thane,Apartment,Semi-Furnished,11115869.0
2258,5,3.0,35.0,3,Nagpur,Apartment,Semi-Furnished,12530990.0
3173,4,1.0,36.0,3,Nagpur,Apartment,Unfurnished,15317103.0
3117,4,3.0,2.0,0,Nagpur,Independent House,Unfurnished,17102991.0
2384,4,1.0,11.0,1,Nashik,Villa,Unfurnished,16138560.0
3920,1,4.0,4.0,3,Thane,Independent House,Unfurnished,50064730.0
2760,4,2.0,4.0,3,Nashik,Villa,Unfurnished,19990493.0
816,2,2.0,2.0,1,Nashik,Apartment,Semi-Furnished,7435391.0
3559,3,1.0,17.0,0,Pune,Independent House,Semi-Furnished,34580577.0
2798,4,1.0,3.0,1,Pune,Independent House,Semi-Furnished,28217913.0
3038,4,4.0,11.0,2,Nagpur,Villa,Unfurnished,18998903.0
2761,2,2.0,39.0,2,Mumbai,Apartment,Semi-Furnished,50482744.0
2714,2,3.0,35.0,3,Nagpur,Independent House,Furnished,13750628.0
862,3,4.0,37.0,0,Thane,Apartment,Unfurnished,10380369.0
2736,1,3.0,1.0,1,Mumbai,Independent House,Semi-Furnished,51856799.0
3679,4,1.0,26.0,1,Pune,Independent House,Semi-Furnished,35918144.0
1715,1,2.0,25.0,3,Nagpur,Villa,Unfurnished,8686745.0
2911,3,2.0,5.0,0,Pune,Apartment,Semi-Furnished,28245399.0
623,4,2.0,36.0,0,Nagpur,Apartment,Semi-Furnished,4154972.0
1889,1,1.0,16.0,1,Nashik,Independent House,Semi-Furnished,10694149.0
2246,5,3.0,39.0,0,Mumbai,Independent House,Furnished,43814041.0
4430,2,2.0,4.0,2,Nashik,Villa,Furnished,29115125.0
1358,1,2.0,26.0,2,Nashik,Independent House,Semi-Furnished,8598006.0
1606,4,2.0,5.0,2,Mumbai,Apartment,Semi-Furnished,31299021.0
2134,3,2.0,37.0,3,Pune,Independent House,Furnished,21357968.0
4470,4,1.0,24.0,1,Mumbai,Apartment,Semi-Furnished,80787556.0
3913,4,2.0,3.0,1,Thane,Apartment,Furnished,50139215.0
638,3,4.0,8.0,1,Pune,Apartment,Furnished,8970818.0
1435,5,3.0,14.0,3,Mumbai,Apartment,Unfurnished,28121298.0
3786,2,3.0,0.0,2,Pune,Apartment,Unfurnished,36521422.0
733,3,4.0,0.0,0,Mumbai,Villa,Unfurnished,17390155.0
3922,1,3.0,37.0,2,Pune,Apartment,Furnished,36125008.0
1625,4,1.0,39.0,2,Nagpur,Villa,Semi-Furnished,9891602.0
4170,2,2.0,21.0,0,Pune,Apartment,Semi-Furnished,38714370.0
1674,4,2.0,36.0,2,Nagpur,Independent House,Semi-Furnished,10473752.0
2237,5,2.0,26.0,2,Pune,Apartment,Furnished,22759617.0
3147,5,1.0,1.0,0,Mumbai,Villa,Furnished,62238464.0
1005,5,1.0,28.0,0,Pune,Apartment,Unfurnished,10492412.0
2728,1,2.0,0.0,2,Nagpur,Apartment,Semi-Furnished,14274042.0
2520,1,4.0,32.0,2,Thane,Apartment,Semi-Furnished,31704674.0
